sk_empresa;sk_ramo_atividade;nu_ordem
3601;1;2
4167;2;0
2900;3;0
3735;4;0
4972;5;0
3601;6;1
6963;7;0
6746;8;0
4783;9;0
9305;10;0
6195;11;0
3601;12;0
165;4;0
3971;10;1
3702;11;0
3678;13;0
4283;14;0
8627;15;0
8934;16;0
2027;17;0
3971;9;0
909;18;1
909;19;0
6511;4;0
162;20;0
1582;9;0
559;9;0
3970;21;0
3450;22;1
3450;23;2
555;24;0
8639;25;0
3450;26;3
3450;27;0
4633;28;0
1170;3;0
837;4;0
3551;29;0
2694;30;0
4918;10;1
7020;31;0
2834;32;0
3720;24;0
8915;33;0
4918;9;0
1;34;0
3459;4;0
5952;35;0
1956;9;0
4935;3;0
2694;36;1
4921;37;0
4801;17;0
8639;38;1
3556;17;0
2409;39;0
8258;40;0
3429;9;0
5470;41;0
4838;42;0
4645;43;0
8739;44;0
5522;45;2
4890;24;0
7574;4;0
5522;46;1
8740;17;0
4844;47;0
7580;48;0
9887;49;0
2250;4;0
7582;4;0
9887;50;1
1026;10;0
3429;10;1
657;50;0
6651;17;0
6927;9;0
2435;17;0
9232;51;0
2340;52;0
6336;9;0
112;53;0
442;9;0
9972;54;0
2340;55;1
3135;56;0
4711;57;0
9072;58;0
4756;59;0
9291;60;0
3649;61;0
5375;62;0
4084;63;1
4645;64;1
4084;65;0
5522;66;0
855;9;0
6831;3;0
1071;28;0
5522;67;3
4587;4;0
9219;68;0
5818;17;0
8896;69;1
8896;58;3
3435;17;0
8896;70;2
8896;71;0
5695;72;0
9958;73;1
9958;74;0
351;4;0
1671;75;0
1364;76;0
5695;77;1
4169;78;0
846;79;2
846;80;0
846;81;1
6304;58;0
8305;82;0
6688;4;0
5695;14;2
9247;50;0
8095;78;0
9958;83;2
5866;9;0
4113;4;0
6285;9;0
393;84;0
4012;85;1
4012;61;0
9014;86;0
7072;5;0
7625;87;0
1503;50;0
1214;9;0
9415;24;0
2555;88;0
4670;89;0
2302;4;0
9235;10;0
7155;76;0
1353;5;0
3881;85;0
7625;90;1
7330;91;0
4610;9;0
2752;92;0
3365;93;1
3364;94;0
3363;95;0
3364;96;1
2697;97;0
2699;98;3
2699;99;1
6318;100;0
3360;101;0
3359;102;2
2694;103;2
3359;104;3
6316;105;1
2700;106;3
6316;107;0
6311;108;3
6311;109;1
3365;110;3
6318;111;2
3361;112;1
3365;113;0
6318;114;1
3363;115;1
2699;116;2
2699;117;4
2694;118;3
3365;119;2
2699;120;0
3361;121;2
2725;122;0
3344;123;0
2712;124;2
3345;97;0
6346;97;0
3308;125;4
6344;106;0
2712;126;4
2702;127;1
2712;128;0
3293;97;0
2708;129;0
6401;122;0
6349;130;0
3338;92;0
6393;131;1
3308;132;3
3308;133;0
2712;134;1
3308;135;1
6393;136;0
2702;137;0
7082;138;1
6394;139;0
6348;101;0
2707;140;0
6394;141;1
2709;97;0
7067;101;0
6343;142;1
6343;143;0
6343;144;4
6343;145;3
6343;146;2
3348;147;1
6413;110;0
3348;148;2
3285;149;2
3348;150;0
3346;151;1
6341;152;4
2719;122;0
6405;100;1
6405;153;4
6405;154;3
7076;155;0
7073;156;2
6405;157;2
2716;158;0
2712;159;3
7073;160;1
6405;161;0
2702;162;2
3285;163;1
2716;119;1
3335;164;2
6381;165;1
6369;166;3
6381;167;0
6381;110;3
3308;168;2
6384;169;0
6365;170;0
6364;171;0
6365;172;1
6369;137;1
3321;173;2
6369;110;4
3325;174;4
3325;175;3
3325;176;1
6369;177;2
6369;178;0
3328;161;0
3326;179;3
3325;180;0
3323;122;0
6375;181;3
6375;101;1
3325;182;2
6375;183;2
3324;161;0
6381;184;2
3315;185;1
3335;186;1
3315;161;0
6351;187;0
6390;188;0
6341;185;2
3313;100;1
6351;189;4
3337;130;0
3312;122;0
3313;97;2
6351;190;2
6351;191;3
3332;192;0
6360;193;0
6355;194;1
3328;100;1
3328;195;4
6355;196;2
3328;185;2
3331;140;1
3328;97;3
6354;101;0
6355;197;3
3331;110;2
6351;198;1
3331;97;0
6321;110;0
3258;129;0
2730;101;0
2731;199;0
3259;200;0
6436;100;1
7060;201;3
7053;202;0
7052;155;1
7055;101;0
7058;203;1
3261;119;1
7057;204;1
6439;205;1
6436;157;2
6438;193;0
2700;101;2
6436;161;0
2736;206;1
6436;207;3
6440;208;1
6450;209;0
3262;169;0
6448;97;0
6440;210;0
3261;158;0
6446;107;4
3260;211;0
3252;119;3
3250;140;1
3252;93;2
3252;113;1
3250;97;0
3252;195;4
2744;169;0
