sk_date;dt_abertura;year;month
1;30/07/2010 00:00:00;2010;jul
3806;12/11/1982 00:00:00;1982;nov
3;04/04/1996 00:00:00;1996;abr
4562;05/01/1988 00:00:00;1988;jan
5;14/10/1994 00:00:00;1994;out
6;27/10/1995 00:00:00;1995;out
4765;04/07/1972 00:00:00;1972;jul
8;25/06/1982 00:00:00;1982;jun
4854;17/02/1987 00:00:00;1987;fev
10;15/04/1986 00:00:00;1986;abr
11;24/04/2003 00:00:00;2003;abr
3787;26/08/2005 00:00:00;2005;ago
3930;03/02/2004 00:00:00;2004;fev
4111;23/02/1996 00:00:00;1996;fev
4192;06/06/1994 00:00:00;1994;jun
4544;11/03/1980 00:00:00;1980;mar
4626;14/01/2002 00:00:00;2002;jan
4670;25/06/1997 00:00:00;1997;jun
19;05/01/2001 00:00:00;2001;jan
20;14/11/1973 00:00:00;1973;nov
21;06/01/2006 00:00:00;2006;jan
4745;22/11/2010 00:00:00;2010;nov
23;12/02/1996 00:00:00;1996;fev
4773;28/12/1977 00:00:00;1977;dez
25;30/06/2009 00:00:00;2009;jun
26;21/03/1994 00:00:00;1994;mar
27;11/08/1983 00:00:00;1983;ago
4871;05/05/2010 00:00:00;2010;mai
5241;07/02/1990 00:00:00;1990;fev
30;24/03/1988 00:00:00;1988;mar
1484;09/11/2000 00:00:00;2000;nov
32;20/05/1997 00:00:00;1997;mai
1795;28/11/2006 00:00:00;2006;nov
34;20/02/1975 00:00:00;1975;fev
35;30/04/2009 00:00:00;2009;abr
3175;17/11/1995 00:00:00;1995;nov
37;31/03/2004 00:00:00;2004;mar
38;30/08/2010 00:00:00;2010;ago
39;12/12/2008 00:00:00;2008;dez
40;25/08/2009 00:00:00;2009;ago
41;16/08/1978 00:00:00;1978;ago
42;30/03/1988 00:00:00;1988;mar
3804;02/02/1967 00:00:00;1967;fev
44;13/03/2008 00:00:00;2008;mar
45;09/01/1973 00:00:00;1973;jan
3902;25/09/2000 00:00:00;2000;set
47;07/06/2001 00:00:00;2001;jun
3989;15/07/1988 00:00:00;1988;jul
49;28/11/2002 00:00:00;2002;nov
4156;17/12/2007 00:00:00;2007;dez
51;03/05/1993 00:00:00;1993;mai
4199;03/03/1994 00:00:00;1994;mar
53;08/07/2008 00:00:00;2008;jul
54;07/02/2007 00:00:00;2007;fev
4468;03/10/2002 00:00:00;2002;out
4529;09/04/1976 00:00:00;1976;abr
4535;31/05/1982 00:00:00;1982;mai
58;02/01/1992 00:00:00;1992;jan
59;05/02/1981 00:00:00;1981;fev
60;31/10/1983 00:00:00;1983;out
61;13/01/2011 00:00:00;2011;jan
62;29/03/1994 00:00:00;1994;mar
63;11/09/1992 00:00:00;1992;set
64;20/05/2010 00:00:00;2010;mai
4659;07/03/2007 00:00:00;2007;mar
4676;20/07/1984 00:00:00;1984;jul
4693;14/05/2004 00:00:00;2004;mai
68;22/11/1988 00:00:00;1988;nov
69;13/12/1985 00:00:00;1985;dez
70;22/11/2001 00:00:00;2001;nov
71;13/04/1983 00:00:00;1983;abr
4739;12/09/1988 00:00:00;1988;set
73;14/11/2007 00:00:00;2007;nov
4761;29/01/2002 00:00:00;2002;jan
75;11/09/2002 00:00:00;2002;set
76;03/12/2002 00:00:00;2002;dez
4783;20/07/1992 00:00:00;1992;jul
4788;12/10/1978 00:00:00;1978;out
79;23/09/1986 00:00:00;1986;set
80;20/06/1986 00:00:00;1986;jun
81;31/12/1965 00:00:00;1965;dez
82;04/10/1982 00:00:00;1982;out
4846;12/09/1991 00:00:00;1991;set
84;30/05/1984 00:00:00;1984;mai
85;26/07/2006 00:00:00;2006;jul
86;10/10/1977 00:00:00;1977;out
87;18/02/2002 00:00:00;2002;fev
88;16/09/2010 00:00:00;2010;set
89;24/03/2008 00:00:00;2008;mar
4974;18/09/2010 00:00:00;2010;set
5024;10/09/1993 00:00:00;1993;set
5068;03/09/1993 00:00:00;1993;set
93;25/03/2002 00:00:00;2002;mar
5097;05/08/1993 00:00:00;1993;ago
5139;11/05/1990 00:00:00;1990;mai
96;30/11/1994 00:00:00;1994;nov
5215;26/03/2007 00:00:00;2007;mar
5258;08/11/2008 00:00:00;2008;nov
1426;06/02/1987 00:00:00;1987;fev
1439;23/10/2010 00:00:00;2010;out
1490;02/12/2004 00:00:00;2004;dez
102;17/01/2012 00:00:00;2012;jan
1763;16/05/2001 00:00:00;2001;mai
1852;10/05/2010 00:00:00;2010;mai
2250;09/07/1985 00:00:00;1985;jul
2661;18/11/2002 00:00:00;2002;nov
3015;15/02/1979 00:00:00;1979;fev
108;30/10/2008 00:00:00;2008;out
109;14/05/2009 00:00:00;2009;mai
3220;28/04/2011 00:00:00;2011;abr
3544;10/08/1992 00:00:00;1992;ago
3572;22/01/1987 00:00:00;1987;jan
3589;06/10/2006 00:00:00;2006;out
3635;04/02/1986 00:00:00;1986;fev
114;16/08/2006 00:00:00;2006;ago
115;16/07/1997 00:00:00;1997;jul
116;03/09/1999 00:00:00;1999;set
3698;27/04/1983 00:00:00;1983;abr
1694;14/08/2011 00:00:00;2011;ago
3715;09/08/2012 00:00:00;2012;ago
119;19/02/2004 00:00:00;2004;fev
120;23/08/1996 00:00:00;1996;ago
3781;28/09/2000 00:00:00;2000;set
122;25/10/1994 00:00:00;1994;out
123;11/01/1982 00:00:00;1982;jan
3809;18/12/1986 00:00:00;1986;dez
3866;23/05/1980 00:00:00;1980;mai
3888;23/03/2006 00:00:00;2006;mar
127;03/01/2002 00:00:00;2002;jan
128;16/04/1992 00:00:00;1992;abr
3925;01/08/1990 00:00:00;1990;ago
3932;26/07/2005 00:00:00;2005;jul
131;15/12/1988 00:00:00;1988;dez
132;20/09/2010 00:00:00;2010;set
133;22/03/2006 00:00:00;2006;mar
134;05/02/1997 00:00:00;1997;fev
135;30/10/2006 00:00:00;2006;out
136;30/12/1993 00:00:00;1993;dez
4029;15/05/2007 00:00:00;2007;mai
4039;16/06/2005 00:00:00;2005;jun
4089;25/05/1990 00:00:00;1990;mai
140;12/11/2003 00:00:00;2003;nov
141;05/01/2006 00:00:00;2006;jan
4150;17/05/1971 00:00:00;1971;mai
4170;30/08/1999 00:00:00;1999;ago
144;31/01/1973 00:00:00;1973;jan
145;08/02/2008 00:00:00;2008;fev
146;28/05/2007 00:00:00;2007;mai
147;10/01/2008 00:00:00;2008;jan
148;20/10/2006 00:00:00;2006;out
