sk_local;de_regiao;sg_uf;de_estado;nm_municipio;nm_bairro;nm_logradouro;nu_logradouro;cd_cep;vl_latitude;vl_longitude
1;Região Sudeste;SP;São Paulo;SAO PAULO;RECANTO CAMPO BELO;ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR;59;04880230;-23,5505199;-46,6333094
2;Região Nordeste;BA;Bahia;ITABUNA;JOAO SOARES;RUA DO CRUZEIRO;495;45604620;-14,7809311;-39,2636
3;Região Sudeste;SP;São Paulo;SAO PAULO;PARQUE SAO LUCAS;RUA VITOR DE QUEIROZ MATOS;105;03263010;-23,5907593;-46,5486725
4;Região Sudeste;MG;Minas Gerais;ALEM PARAIBA;VILA CAXIAS;RUA ANTONIO GALDINO MARCA;167;36660000;-21,8833835;-42,6985095
5;Região Nordeste;BA;Bahia;SALVADOR;BARRIS;RUA PORTAO DA PIEDADE;155;40070045;-12,9830488;-38,5136913
6;Região Sudeste;SP;São Paulo;SAO PAULO;VILA JAGUARA;AVENIDA CANDIDO PORTINARI;970;05114001;-23,5072955;-46,7555407
7;Região Sul;PR;Paraná;PINHAIS;VILA TARUMA;RUA 24 DE MAIO;574;83323060;-25,4387247;-49,1949172
8;Região Centro-Oeste;GO;Goiás;ANAPOLIS;SETOR CENTRAL;RUA DESEMBARGADOR JAIME;141;75020040;-16,3273047;-48,9533426
9;Região Sudeste;SP;São Paulo;PARAGUACU PAULISTA;JARDIM MURILO MACEDO;RUA VAIL JUSTINIANO TOLEDO;113;19700000;-22,432076;-50,5803154
10;Região Norte;TO;Tocantins;AXIXA DO TOCANTINS;CENTRO;RUA PARAENSE;SN;77930000;-5,6149591;-47,7708204
11;Região Centro-Oeste;GO;Goiás;ANAPOLIS;RECANTO DO SOL;AVENIDA ESTADO;623;75074590;-16,2806113;-48,9319839
12;Região Sudeste;SP;São Paulo;LOUVEIRA;JARDIM LAGO AZUL SANTO ANTONIO;RUA ANTONIO CHICALHONE;218;13290000;-23,0864185;-46,9770708
13;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;RAMOS;RUA AMANARU;152;21031590;-22,8492135;-43,2540858
14;Região Sul;SC;Santa Catarina;APIUNA;VARGEM GRANDE;ESTRADA VARGEM GRANDE;115;89135000;-27,0337085;-49,3872519
15;Região Sudeste;ES;Espírito Santo;CARIACICA;CAMPO GRANDE;AVENIDA EXPEDITO GARCIA;104;29146200;-20,3433882;-40,3875092
16;Região Sul;SC;Santa Catarina;MASSARANDUBA;GUARANI MIRIM;RUA HARROLD LAFFIN;208;89108000;-26,6109126;-49,0091505
17;Região Sudeste;SP;São Paulo;CAMPINAS;JARDIM APARECIDA;RUA BATISTA RAFFI;803;13068601;-22,8525901;-47,1565107
18;Região Sudeste;MG;Minas Gerais;BELO HORIZONTE;CAICARAS;AVENIDA DOM PEDRO II;3180;30720460;-19,9120148;-43,9711978
19;Região Sudeste;SP;São Paulo;SAO PAULO;VILA LEOPOLDINA;AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP;1946;05314000;-23,5505199;-46,6333094
20;Região Sudeste;MG;Minas Gerais;BELO HORIZONTE;PARQUE RIACHUELO;PRACA RAMATIS;161;31230000;-19,8909944;-43,9523488
21;Região Sul;RS;Rio Grande do Sul;SANTA MARIA;JUSCELINO KUBITSCHEK;RUA ANTONIO SANGOI NETO;156;97035090;-29,6963563;-53,844565
22;Região Nordeste;CE;Ceará;SANTANA DO CARIRI;ARAPORANGA;RUA DO COMERCIO;102;63190000;-7,1882638;-39,7376748
23;Região Sul;SC;Santa Catarina;MAFRA;BELA VISTA SUL;LOCALIDADE BELA VISTA DO SUL;SN;89300000;-26,1117326;-49,8065079
24;Região Nordeste;PE;Pernambuco;VITORIA DE SANTO ANTAO;MATRIZ;RUA JOAO SABINO ANDRADE;70A;55602005;-8,1138885;-35,2915134
25;Região Sudeste;SP;São Paulo;SAO PAULO;VILA OLIMPIA;RUA CASA DO ATOR;275;04546004;-23,6001428;-46,6763564
26;Região Sudeste;MG;Minas Gerais;UBERLANDIA;APARECIDA;AVENIDA AFONSO PENA;1825;38400706;-18,908382;-48,270572
27;Região Sudeste;SP;São Paulo;OSASCO;VILA NOVA OSASCO;AVENIDA LUCIANINHO MELLI;42;06080010;-23,541913;-46,7788579
28;Região Sudeste;SP;São Paulo;MENDONCA;CENTRO;RUA ANGELO PETRONINI;478;15220000;-21,1900316;-49,580999
29;Região Sul;RS;Rio Grande do Sul;ROQUE GONZALES;CENTRO;RUA MAJOR ANTONIO T CARDOSO;223;97970000;-28,1322847;-55,0223579
30;Região Sul;SC;Santa Catarina;JOINVILLE;CENTRO;RUA PRINCESA ISABEL;238;89211595;-26,2993337;-48,844535
31;Região Sul;RS;Rio Grande do Sul;GRAVATAI;ITACOLOMI;ESTRADA GERAL DO MORRO AGUDO;305;94090120;-29,8744377;-50,9984135
32;Região Sudeste;SP;São Paulo;SAO PAULO;CAMBUCI;RUA GAMA CERQUEIRA;323;01539010;-23,5702953;-46,6197298
33;Região Sudeste;MG;Minas Gerais;LEOPOLDINA;FABRICA;RUA POMPILHO GUIMARAES;171;36700000;-21,5368229;-42,6413579
34;Região Sul;SC;Santa Catarina;VARGEM;INTERIOR;LOCALIDADE VILA FATIMA;SN;89638000;-27,4872075;-50,9728528
35;Região Sudeste;ES;Espírito Santo;VITORIA;ENSEADA DO SUA;RUA PROFESSOR ALMEIDA COUSIN;125;29050565;-20,3137737;-40,2941848
36;Região Sudeste;RJ;Rio de Janeiro;RIO DE JANEIRO;FREGUESIA JACAREPAGUA;RUA MARECHAL SEREJO;133;22743380;-22,9249284;-43,3431213
37;Região Sul;PR;Paraná;SANTA HELENA;CENTRO;LOCALIDADE DE LINHA PROGRESSO;SN;85892000;-24,8569233;-54,3334256
38;Região Sudeste;RJ;Rio de Janeiro;SAO GONCALO;JARDIM CATARINA;RUA MIGUEL GLINKA;;24716072;-22,7853052;-43,0051048
39;Região Sudeste;SP;São Paulo;COSMORAMA;ZONA RURAL;VIA DE COSMORAMA A AMERICO DE CAMPOS;SN;15530000;-20,4780031;-49,7779205
40;Região Sudeste;SP;São Paulo;SAO CARLOS;CENTRO;RUA JOSE BONIFACIO;180;13560160;-22,0268377;-47,8934375
41;Região Sudeste;MG;Minas Gerais;ITABIRA;VILA PIEDADE;RUA JOSE HILARIO;SN;35900202;-19,6284156;-43,220858
42;Região Sudeste;SP;São Paulo;SAO BERNARDO DO CAMPO;CHACARA INGLESA;AVENIDA BARAO DE MAUA;50;09726000;-23,6911701;-46,5606889
43;Região Sudeste;SP;São Paulo;SAO PAULO;PINHEIROS;AVENIDA EUSEBIO MATOSO;690;05423000;-23,5714458;-46,697283
44;Região Nordeste;RN;Rio Grande do Norte;ALTO DO RODRIGUES;CENTRO;RUA ANGELO VARELA;9;59507000;-5,2887251;-36,7603816
45;Região Sul;RS;Rio Grande do Sul;LAJEADO;CENTRO;AVENIDA SENADOR ALBERTO PASQUALINI;193;95900034;-29,4589733;-51,9673123
46;Região Nordeste;BA;Bahia;ESPLANADA;CENTRO;RUA JOSE ALVES DOS SANTOS FILHO;SN;48370000;-11,7946561;-37,9435616
47;Região Norte;TO;Tocantins;ANANAS;CENTRO;RUA OLAVO BILAC;1;77890000;-6,3685511;-48,0697669
48;Região Sudeste;SP;São Paulo;PIRAPORA DO BOM JESUS;JARDIM BOM JESUS;RUA EGEO BENTO FRATICCELI;311;06550000;-23,3969772;-46,9995522
