sk_ramo_atividade;cd_cnae;de_ramo;de_divisao;cd_atividade;de_atividade
1;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1099604;FABRICACAO DE GELO COMUM
2;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093701;COMERCIO VAREJISTA DE BEBIDAS
1529;96;Serviços Diversos;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS;9609208;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS
4;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1091102;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA
1363;82;Serviços Administrativos;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS;8219999;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE
6;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1094500;FABRICACAO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO
7;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1033302;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS
8;10;Bens de Consumo;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;1093701;ATIVIDADES DE POSPRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE
1695;45;Varejo;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4520001;FABRICACAO DE FERRAMENTAS
2434;43;Indústria da Construção;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;4330404;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL
