sk_empresa;sk_local;sk_natureza_juridica;sk_date;vl_total_veiculos_antt;vl_total_veiculos_leves;vl_total_veiculos_pesados;qt_filial;vl_total_veiculos;nu_tempo_empresa
1;1;1;1;0,000000;0;0;0;0;10
2;2;2;2;0,000000;0;0;0;0;9
3;3;2;3;0,000000;0;0;0;0;24
4;4;1;4;0,000000;0;0;0;0;23
5;5;2;5;0,000000;0;0;0;0;26
6;6;1;6;0,000000;0;0;0;0;25
7;7;2;7;0,000000;0;0;0;0;25
8;8;2;8;0,000000;0;0;0;0;38
9;9;1;9;0,000000;0;0;0;0;12
10;10;1;10;0,000000;0;0;0;0;34
11;11;2;11;0,000000;0;0;0;0;17
12;12;1;12;0,000000;0;0;0;0;8
13;13;1;13;0,000000;0;0;0;0;8
14;14;1;14;0,000000;1;0;0;1;15
15;15;2;15;0,000000;0;0;0;0;8
16;16;2;16;0,000000;0;0;0;0;8
17;17;3;17;0,000000;0;0;0;0;10
18;18;2;18;0,000000;0;0;0;0;10
19;19;2;19;0,000000;0;0;0;0;19
20;20;4;20;0,000000;0;0;10;0;47
21;21;2;21;0,000000;0;0;0;0;14
22;22;1;22;0,000000;0;0;0;0;21
23;23;4;23;0,000000;0;0;0;0;24
24;24;1;24;0,000000;0;0;0;0;10
25;25;2;25;0,000000;0;0;0;0;11
26;26;2;26;0,000000;0;0;1;0;26
27;27;2;27;0,000000;0;0;0;0;37
28;28;4;28;0,000000;0;0;0;0;8
29;29;2;29;0,000000;2;0;0;2;24
30;30;2;30;0,000000;0;0;0;0;32
31;31;1;31;0,000000;0;0;0;0;23
32;32;2;32;0,000000;0;0;0;0;23
33;33;2;33;0,000000;0;0;0;0;23
34;34;2;34;0,000000;0;0;0;0;45
35;35;5;35;0,000000;0;0;0;0;11
36;36;6;36;0,000000;0;0;0;0;10
37;37;2;37;0,000000;0;0;0;0;16
38;38;1;38;0,000000;0;0;0;0;10
39;39;7;39;0,000000;0;0;0;0;12
40;40;2;40;0,000000;0;0;0;0;11
41;41;8;41;0,000000;4;0;0;4;42
42;42;4;42;0,000000;0;0;0;0;32
43;43;2;43;0,000000;0;0;0;0;11
44;44;1;44;0,000000;4;0;3;4;12
45;45;1;45;0,000000;0;0;0;0;47
46;46;2;46;0,000000;0;0;0;0;13
47;47;1;47;0,000000;0;0;0;0;19
48;48;1;48;0,000000;0;0;0;0;10
49;49;9;49;0,000000;0;0;0;0;18
50;50;2;50;0,000000;0;0;0;0;10
51;51;1;51;0,000000;0;0;0;0;27
52;52;7;52;0,000000;0;0;1;0;14
53;53;10;53;0,000000;0;0;0;0;12
54;54;2;54;0,000000;0;0;0;0;13
55;55;2;55;0,000000;0;0;0;0;13
56;56;2;56;0,000000;0;0;0;0;10
57;57;2;57;0,000000;0;0;0;0;15
58;58;2;58;0,000000;0;0;0;0;28
59;59;11;59;0,000000;0;0;0;0;39
60;60;12;60;0,000000;2;1;0;3;37
61;61;1;61;0,000000;0;0;0;0;9
62;62;2;62;0,000000;0;0;0;0;26
63;63;2;63;0,000000;0;0;0;0;28
64;64;1;64;0,000000;0;0;0;0;10
65;65;2;65;0,000000;0;0;0;0;15
66;66;7;66;0,000000;0;0;0;0;10
67;67;1;67;0,000000;0;0;0;0;10
68;68;8;68;0,000000;0;0;0;0;32
69;69;6;69;0,000000;0;0;0;0;35
70;70;2;70;0,000000;0;0;0;0;19
71;71;2;71;0,000000;0;0;0;0;37
72;72;1;72;0,000000;0;0;0;0;8
73;73;1;73;0,000000;0;0;0;0;13
74;74;1;74;0,000000;0;0;0;0;18
75;75;2;75;0,000000;0;0;0;0;18
76;76;2;76;0,000000;0;0;0;0;18
77;77;2;77;0,000000;0;0;0;0;28
78;78;1;78;0,000000;0;0;0;0;23
79;79;2;79;0,000000;0;0;0;0;34
80;80;13;80;0,000000;0;0;0;0;34
81;81;2;81;0,000000;0;0;0;0;55
82;82;2;82;0,000000;0;0;0;0;38
83;83;2;83;0,000000;0;0;0;0;37
84;84;1;84;0,000000;0;0;0;0;36
85;85;1;85;0,000000;0;0;0;0;14
86;86;1;86;0,000000;0;0;0;0;43
87;87;1;87;0,000000;0;0;0;0;18
88;88;1;88;0,000000;0;0;0;0;10
89;89;2;89;0,000000;0;0;0;0;12
90;90;4;90;0,000000;0;0;0;0;12
91;91;6;91;0,000000;0;0;0;0;20
92;92;2;92;0,000000;1;0;0;1;31
93;93;1;93;0,000000;0;0;0;0;18
94;94;1;94;0,000000;0;0;0;0;30
95;95;1;95;0,000000;0;0;0;0;43
96;96;1;96;0,000000;0;0;0;0;26
97;97;1;97;0,000000;0;0;0;0;9
98;98;1;98;0,000000;0;0;0;0;9
99;99;1;99;0,000000;0;0;0;0;8
100;100;2;100;0,000000;0;0;0;0;21
101;101;2;101;0,000000;0;0;0;0;16
102;102;1;102;0,000000;0;0;0;0;8
103;103;1;103;0,000000;0;0;0;0;18
104;104;2;104;0,000000;0;0;0;0;9
105;105;1;105;0,000000;0;0;0;0;54
106;106;2;106;0,000000;0;0;0;0;10
107;107;2;107;0,000000;0;0;0;0;10
108;108;2;108;0,000000;2;0;0;2;12
109;109;2;109;0,000000;0;0;0;0;11
110;110;1;110;0,000000;0;0;0;0;8
111;111;2;111;0,000000;0;0;0;0;8
112;112;1;112;0,000000;2;0;0;2;8
113;113;1;112;0,000000;0;0;0;0;8
114;114;14;113;0,000000;0;0;0;0;11
115;115;7;114;0,000000;0;0;0;0;14
116;116;2;115;0,000000;0;0;0;0;23
117;117;1;116;0,000000;0;0;0;0;21
118;118;7;117;0,000000;0;0;0;0;10
119;119;2;2;0,000000;0;0;0;0;9
120;120;1;118;0,000000;0;0;0;0;15
121;121;2;119;0,000000;0;0;0;0;16
122;122;15;120;0,000000;0;0;0;0;24
123;123;14;121;0,000000;0;0;0;0;12
124;124;2;122;0,000000;0;0;0;0;26
125;125;1;123;0,000000;0;0;0;0;38
126;126;2;124;0,000000;0;0;0;0;9
127;127;1;125;0,000000;0;0;0;0;9
128;128;2;126;0,000000;0;0;0;0;20
129;129;2;127;0,000000;0;0;0;0;18
130;130;15;128;0,000000;0;0;0;0;28
131;131;1;129;0,000000;1;0;0;1;10
132;132;1;130;0,000000;0;0;0;0;10
133;133;2;131;0,000000;0;0;0;0;32
134;134;1;132;0,000000;0;0;0;0;10
135;135;2;133;0,000000;0;0;0;0;14
